Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,37.7,-77.5,90.0,top
C10,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,35.8,-48.6,0.0,top
C11,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,57.0,-68.0,90.0,top
C12,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,45.5,-92.8,180.0,top
C13,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,39.4,-63.3,-90.0,top
C14,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,44.9,-68.65,180.0,top
C2,1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,37.7,-81.3,-90.0,top
C3,1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,37.7,-88.9,-90.0,top
C4,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,42.8,-78.7,180.0,top
C5,10u,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,33.6,-44.5,-90.0,top
C7,100u,CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder,50.9,-48.0,90.0,top
C8,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,39.4,-44.1,-90.0,top
C9,10u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,44.5,-49.6,180.0,top
D101,LED,LED_0805_2012Metric,57.9,-46.9,-90.0,top
GOTE1,Fiducial,uwuriel,53.9,-96.6,0.0,top
GOTE2,Fiducial,borgar,47.7,-80.7,0.0,bottom
J1,VGA,VGA_CONN,24.5,-74.12,-90.0,top
J3,USB_C_Receptacle_Power,USB_C_Receptacle_Generic_Power_Only,22.8,-47.6,90.0,top
J4,SCART_CONN,SCART_CONN,30.29,-81.135,-90.0,top
J5,3xRCA_CONN,3xRCA_CONN_SINGLE,64.79726,-62.0,90.0,top
JR1,Conn_Coaxial,Cheapo_RCA_single_edge,64.725,-90.6,-90.0,top
JU1,Conn_Coaxial,Cheapo_RCA_single_edge,64.725,-103.62,-90.0,top
L101,10uH,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,30.5,-43.1,0.0,top
R1,1k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,44.5,-47.6,180.0,top
R10,75,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,56.8,-79.0,90.0,top
R101,1k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,54.7,-49.6,0.0,top
R11,75,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,58.9,-69.6,-90.0,top
R12,4k7,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,52.5,-60.0,-90.0,top
R13,1k27,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,50.5,-60.0,-90.0,top
R14,1k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,57.0,-64.2,90.0,top
R15,75,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,39.4,-59.4,90.0,top
R16,5k1,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,29.5,-46.2,180.0,top
R17,5k1,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,29.5,-48.2,180.0,top
R18,680k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,44.9,-70.7,180.0,top
R19,1k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,33.1,-53.5,-90.0,top
R2,1k33,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,40.7,-47.6,180.0,top
R20,1k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,45.5,-80.7,0.0,top
R21,511,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,45.5,-82.7,0.0,top
R22,2740,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,45.5,-84.7,0.0,top
R23,300,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,42.4,-83.6,90.0,top
R24,1k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,57.0,-71.9,90.0,top
R25,1k77,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,55.0,-71.9,90.0,top
R26,1k77,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,52.7,-71.9,90.0,top
R27,4k7,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,48.7,-71.9,90.0,top
R28,1k27,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,50.7,-71.9,90.0,top
R3,75,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,37.7,-73.7,90.0,top
R4,75,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,37.7,-85.1,-90.0,top
R5,75,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,37.7,-92.7,-90.0,top
R6,1k402,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,56.5,-60.0,-90.0,top
R7,1k402,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,54.5,-60.0,-90.0,top
R8,510,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,54.8,-79.0,90.0,top
R9,75,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,57.8,-54.0,-90.0,top
U1,SC6206B-65K5,SOT-23,42.646,-44.142,90.0,top
U10,74HC86,TSSOP-14_4.4x5mm_P0.65mm,36.8,-53.4,90.0,top
U3,RS8752XK,SOIC-8_3.9x4.9mm_P1.27mm,53.0,-65.9,-90.0,top
U6,THS7374,TSSOP-14_4.4x5mm_P0.65mm,45.1,-88.9,0.0,top
U8,LM1881,SOIC-8_3.9x4.9mm_P1.27mm,44.9,-64.9,0.0,top
